Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Suits (2011): Season 2,Yes,,106600000,,,['Sport'],"year in title,2010s,2000s,2020s,number in title",A review of Arsenal&apos;s 2011/2012 football season.
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104600000,9835.0,6.8,"['Documentary', 'Crime']","rich family,crime documentary,scandal,south carolina,double murder",Shocking tragedies shatter a tight-knit South Carolina community and expose the horrifying secrets of its most powerful family.
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,104500000,,,['Drama'],,"Antonio is finally free from his father&apos;s ranch hard work. As soon as he turn 17, he moves out, seeking success and adventure in the city of stars called Eden where he meets the girl of his dreams. Once settle there, he gets to kn..."
Breaking Bad: Season 3,No,,104300000,20.0,7.4,"['Comedy', 'Music', 'Talk-Show']",,
Lucifer: Season 3,No,2017-10-03,102800000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
CoComelon: Season 2,No,2020-12-17,102300000,,,,,
Café con aroma de mujer: Season 1,No,2021-12-29,101700000,740.0,7.6,"['Drama', 'Romance']",,
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,99900000,426880.0,7.0,['Comedy'],"prom,sex comedy,female masturbation,female nudity,teen sex comedy",
The Blacklist: Season 1,No,,99900000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
Shadow and Bone: Season 1,Yes,2021-04-23,99500000,111361.0,7.6,"['Action', 'Adventure', 'Drama']","magic,power,young woman,soldier,gay man",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,99000000,,,"['Short', 'Comedy']",,
Designated Survivor: Season 1,Yes,2016-09-22,98500000,155.0,6.4,['Documentary'],,"This video feature shows highlights from the first season on the Survivor television show. Each castaway is featured in the order they were voted off, starting with clips from their auditions to the time they give their final rema..."
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,97800000,16.0,7.2,['Comedy'],"parody comedy,spoof","Lost in the middle of nowhere, an eclectic band of characters try to figure out where they are, why they are there and just what went wrong, exactly. Zach wakes up to discover he is lost and abandoned in the middle of the desert. ..."
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,97600000,102.0,4.9,['Horror'],,
Minions: The Rise of Gru,No,,96400000,80958.0,6.5,"['Animation', 'Adventure', 'Comedy']","sequel to spin off,despicable me&apos;s minion character,supervillainess,supervillain,chinese zodiac",The untold story of one twelve-year-old&apos;s dream to become the world&apos;s greatest supervillain.
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,95800000,,,,,
The Blacklist: Season 9,No,,95700000,14.0,6.0,"['Documentary', 'Short']",dvd extra,
That '90s Show: Part 1,Yes,2023-01-19,95100000,174.0,6.4,"['Drama', 'Western']","spaghetti western,italo western,eastern,ostern,second part","The last of a two-part film centered on the life and career of John Reed, the revolutionary communist journalist."
